fecha,tasa,precios
17-10-2018,-1.8512450851900435,59.91
18-10-2018,-3.856977321635488,58.08
19-10-2018,-2.8834870075440047,57.93
22-10-2018,-5.280081232018961,55.97
23-10-2018,-2.3962200472494004,57.84
24-10-2018,-2.6542688081149626,57.58
25-10-2018,-2.428668478260869,57.45
26-10-2018,-6.175930562510425,56.21
29-10-2018,-5.5096418732782295,54.88
30-10-2018,-9.64957707578111,52.34
31-10-2018,-7.200285867428982,51.94
01-11-2018,-9.076763485477178,52.59
05-11-2018,-7.815213615838833,53.08
06-11-2018,-6.161879895561368,53.91
